name,Year,Series,Value,Source
Eastern Africa,2022,Population aged 0 to 14 years old (percentage),41.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Eastern Africa,2022,Population aged 60+ years old (percentage),4.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Eastern Africa,2022,Population density,71.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Middle Africa,2010,Population mid-year estimates (millions),133.61,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Middle Africa,2010,Population mid-year estimates for males (millions),66.32,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Middle Africa,2010,Population mid-year estimates for females (millions),67.29,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Middle Africa,2010,Sex ratio (males per 100 females),98.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Middle Africa,2010,Population aged 0 to 14 years old (percentage),45.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Middle Africa,2010,Population aged 60+ years old (percentage),4.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Middle Africa,2010,Population density,20.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Middle Africa,2015,Population mid-year estimates (millions),157.40,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Middle Africa,2015,Population mid-year estimates for males (millions),78.22,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Middle Africa,2015,Population mid-year estimates for females (millions),79.18,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Middle Africa,2015,Sex ratio (males per 100 females),98.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Middle Africa,2015,Population aged 0 to 14 years old (percentage),45.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Middle Africa,2015,Population aged 60+ years old (percentage),4.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Middle Africa,2015,Population density,24.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Middle Africa,2015,Surface area (thousand km2),"6,613","United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Middle Africa,2020,Population mid-year estimates (millions),184.57,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Middle Africa,2020,Population mid-year estimates for males (millions),91.79,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Middle Africa,2020,Population mid-year estimates for females (millions),92.78,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Middle Africa,2020,Sex ratio (males per 100 females),98.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Middle Africa,2020,Population aged 0 to 14 years old (percentage),45.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Middle Africa,2020,Population aged 60+ years old (percentage),4.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
